course_number,description
EECE 7203.,Complex Variable Theory and Differential Equations.  (4 Hours)
EECE 7204.,Applied Probability and Stochastic Processes.  (4 Hours)
EECE 7205.,Fundamentals of Computer Engineering.  (4 Hours)
EECE 7211.,Nonlinear Control.  (4 Hours)
EECE 7213.,System Identification and Adaptive Control.  (4 Hours)
EECE 7214.,Optimal and Robust Control.  (4 Hours)
EECE 7215.,Introduction to Distributed Intelligence.  (4 Hours)
EECE 7223.,Riemannian Optimization.  (4 Hours)
EECE 7224.,Power Systems State Estimation.  (4 Hours)
EECE 7226.,Modeling and Simulation of Power System Transients.  (4 Hours)
EECE 7228.,Advanced Power Electronics.  (4 Hours)
EECE 7240.,Analog Integrated Circuit Design.  (4 Hours)
EECE 7242.,Integrated Circuits for Mixed Signals and Data Communication.  (4 Hours)
EECE 7244.,Introduction to Microelectromechanical Systems (MEMS).  (4 Hours)
EECE 7245.,Microwave Circuit Design for Wireless Communication.  (4 Hours)
EECE 7247.,Radio Frequency Integrated Circuit Design.  (4 Hours)
EECE 7248.,Lab for EECE 7240.  (0 Hours)
EECE 7250.,Power Management Integrated Circuits.  (4 Hours)
EECE 7270.,Electromagnetic Theory 2.  (4 Hours)
EECE 7271.,Computational Methods in Electromagnetics.  (4 Hours)
EECE 7275.,Antennas and Radiation.  (4 Hours)
EECE 7284.,Optical Properties of Matter.  (4 Hours)
EECE 7293.,Modern Imaging.  (4 Hours)
EECE 7296.,Electronic Materials.  (4 Hours)
EECE 7297.,Advanced Magnetic Materials—Magnetic Devices.  (4 Hours)
EECE 7310.,Modern Signal Processing.  (4 Hours)
EECE 7311.,Two Dimensional Signal and Image Processing.  (4 Hours)
EECE 7323.,Numerical Optimization Methods.  (4 Hours)
EECE 7332.,Making Networks Reliable—An Introduction to Coding Theory.  (4 Hours)
EECE 7336.,Digital Communications.  (4 Hours)
EECE 7337.,Information Theory.  (4 Hours)
EECE 7345.,"Big Data and Sparsity in Control, Machine Learning, and Optimization.  (4 Hours)"
EECE 7346.,Probabilistic System Modeling and Analysis.  (4 Hours)
EECE 7352.,Computer Architecture.  (4 Hours)
EECE 7353.,VLSI Design.  (4 Hours)
EECE 7364.,Mobile and Wireless Networking.  (4 Hours)
EECE 7368.,High-Level Design of Hardware-Software Systems.  (4 Hours)
EECE 7370.,Advanced Computer Vision.  (4 Hours)
EECE 7374.,Fundamentals of Computer Networks.  (4 Hours)
EECE 7376.,Operating Systems: Interface and Implementation.  (4 Hours)
EECE 7390.,Computer Hardware Security.  (4 Hours)
EECE 7393.,Analysis and Design of Data Networks.  (4 Hours)
EECE 7397.,Advanced Machine Learning.  (4 Hours)
EECE 7398.,Advanced Special Topics in Electrical and Computer Engineering.  (4 Hours)
EECE 7399.,Preparing High-Stakes Written and Oral Materials.  (4 Hours)
EECE 7400.,Special Problems in Electrical and Computer Engineering.  (1-4 Hours)
EECE 7440.,Electrical and Computer Engineering Leadership Challenge Project 1.  (4 Hours)
EECE 7442.,Electrical and Computer Engineering Leadership Challenge Project 2.  (4 Hours)
EECE 7674.,Master’s Project.  (4 Hours)
EECE 7962.,Elective.  (1-4 Hours)
EECE 7986.,Research.  (0 Hours)
EECE 7990.,Thesis.  (4-8 Hours)
EECE 7996.,Thesis Continuation - Half-Time.  (0 Hours)
EECE 8986.,Research.  (0 Hours)
EECE 9000.,PhD Candidacy Achieved.  (0 Hours)
EECE 9986.,Research.  (0 Hours)
EECE 9990.,Dissertation Term 1.  (0 Hours)
EECE 9991.,Dissertation Term 2.  (0 Hours)
EECE 9996.,Dissertation Continuation.  (0 Hours)
EET 1990.,lective.  (1-4 Hours)
EET 2000.,ircuits 1.  (3 Hours)
EET 2001.,ab for EET 2000.  (2 Hours)
EET 2005.,ircuits AC/DC.  (3 Hours)
EET 2006.,ab for EET 2005.  (2 Hours)
EET 2990.,lective.  (1-4 Hours)
EET 3100.,lectronics 1.  (3 Hours)
EET 3101.,ab for EET 3100.  (2 Hours)
EET 3200.,lectronics 2.  (3 Hours)
EET 3201.,ab for EET 3200.  (2 Hours)
EET 3300.,igital Logic.  (3 Hours)
EET 3301.,ab for EET 3300.  (2 Hours)
EET 3750.,inear Systems.  (3 Hours)
EET 3800.,ontrol Systems.  (3 Hours)
EET 3990.,lective.  (1-4 Hours)
EET 4950.,eminar.  (1-4 Hours)
EET 4955.,roject.  (1-4 Hours)
EET 4983.,opics.  (1-4 Hours)
EET 4990.,lective.  (1-4 Hours)
EET 4991.,esearch.  (1-4 Hours)
EET 4992.,irected Study.  (1-4 Hours)
EET 4994.,nternship.  (1-4 Hours)
EET 4995.,racticum.  (1-4 Hours)
EET 4996.,xperiential Education Directed Study.  (1-4 Hours)
ENSY 5000.,Fundamentals of Energy System Integration.  (4 Hours)
ENSY 5050.,Fundamentals of Thermal Science 1.  (4 Hours)
ENSY 5060.,Fundamentals of Thermal Science 2.  (4 Hours)
ENSY 5100.,Hydropower.  (4 Hours)
ENSY 5200.,Energy Storage Systems.  (4 Hours)
ENSY 5300.,Electrochemical Energy Storage.  (4 Hours)
ENSY 5400.,Power Plant Design and Analysis.  (4 Hours)
ENSY 5500.,Smart Grid.  (4 Hours)
ENSY 5585.,Wind Energy Systems.  (4 Hours)
ENSY 5600.,Fundamentals of Solar Photovoltaic Energy Conversion.  (4 Hours)
ENSY 5650.,Geologic Energy Systems for Energy Generation and Carbon Sequestration.  (4 Hours)
ENSY 5700.,Renewable Energy Development.  (4 Hours)
ENSY 5800.,Applications of Artificial Intelligence in Energy Systems.  (4 Hours)
ENSY 6962.,Elective.  (1-4 Hours)
ENSY 7374.,Special Topics in Energy Systems.  (4 Hours)
ENSY 7440.,Energy Systems Engineering Leadership Challenge Project 1.  (4 Hours)
ENSY 7442.,Energy Systems Engineering Leadership Challenge Project 2.  (4 Hours)
ENSY 7945.,Master’s Project.  (4 Hours)
ENSY 7978.,Independent Study.  (1-4 Hours)
ENSY 7986.,Research.  (0 Hours)
ENCP 2000.,Introduction to Engineering Co-op Education.  (1 Hour)
ENCP 3000.,Professional Issues in Engineering.  (1 Hour)
ENCP 6000.,Career Management for Engineers.  (1 Hour)
ENCP 6100.,Introduction to Cooperative Education.  (1 Hour)
ENCP 6954.,Co-op Work Experience - Half-Time.  (0 Hours)
ENCP 6955.,Co-op Work Experience Abroad - Half-Time.  (0 Hours)
ENCP 6964.,Co-op Work Experience.  (0 Hours)
ENCP 6965.,Co-op Work Experience Abroad.  (0 Hours)
ENCP 7100.,Career Management for PhD Engineers.  (1 Hour)
ENGR 2963.,"Topics.  (1,2 Hours)"
ENGR 5963.,"Topics.  (1,2 Hours)"
ENGR 5964.,Projects for Professionals.  (0 Hours)
ENGR 5965.,Engaging with Industry Partners for Rising Professionals.  (0 Hours)
ENGR 6962.,Elective.  (1-4 Hours)
ENGR 9700.,Dissertation Fieldwork.  (0 Hours)
ENGR 9701.,Engineering Teaching Practicum.  (0 Hours)
ENGR 9702.,Dissertation Fieldwork - Half-Time.  (0 Hours)
ENLR 3121.,Engineering Leadership Professional Development.  (0 Hours)
ENLR 5121.,Engineering Leadership 1.  (2 Hours)
ENLR 5122.,Engineering Leadership 2.  (2 Hours)
ENLR 5131.,Scientific Foundations of Engineering 1.  (2 Hours)
ENLR 5132.,Scientific Foundations of Engineering 2.  (2 Hours)
ENLR 6962.,Elective.  (1-4 Hours)
ENLR 7440.,Engineering Leadership Challenge Project 1.  (4 Hours)
ENLR 7442.,Engineering Leadership Challenge Project 2.  (4 Hours)
ENLR 7444.,Engineering Leadership Challenge Project Continuation.  (0 Hours)
EMGT 5220.,Engineering Project Management.  (4 Hours)
EMGT 5300.,Engineering/Organizational Psychology.  (4 Hours)
EMGT 6225.,Economic Decision Making.  (4 Hours)
EMGT 6305.,Financial Management for Engineers.  (4 Hours)
EMGT 6600.,Engineering Team Performance.  (4 Hours)
EMGT 6700.,Digital Product Design and Management.  (4 Hours)
EMGT 6962.,Elective.  (1-4 Hours)
EMGT 7374.,Special Topics in Engineering Management.  (4 Hours)
EMGT 7945.,Master's Project.  (4 Hours)
EMGT 7962.,Elective.  (1-4 Hours)
EMGT 7978.,Independent Study.  (1-4 Hours)
EMGT 7986.,Research.  (0 Hours)
EMGT 7990.,Thesis.  (1-8 Hours)
EMGT 7996.,Thesis Continuation - Half-Time.  (0 Hours)
ENGL 1000.,English at Northeastern.  (1 Hour)
ENGL 1120.,Trouble in Utopia.  (4 Hours)
ENGL 1140.,Grammar: The Architecture of English.  (4 Hours)
ENGL 1160.,Introduction to Rhetoric.  (4 Hours)
ENGL 1300.,Introduction to Health and Humanities.  (4 Hours)
ENGL 1400.,Introduction to Literary Studies.  (4 Hours)
ENGL 1410.,Introduction to Research on Writing.  (4 Hours)
ENGL 1450.,Reading and Writing in the Digital Age.  (4 Hours)
ENGL 1500.,British Literature to 1800.  (4 Hours)
ENGL 1502.,American Literature to 1865.  (4 Hours)
ENGL 1600.,Introduction to Shakespeare.  (4 Hours)
ENGL 1700.,Global Literatures 1.  (4 Hours)
ENGL 1701.,Global Literatures 2.  (4 Hours)
ENGL 1990.,Elective.  (1-4 Hours)
ENGL 2150.,Literature and Digital Diversity.  (4 Hours)
ENGL 2296.,Early African-American Literature.  (4 Hours)
ENGL 2301.,The Graphic Novel.  (4 Hours)
ENGL 2330.,The American Renaissance.  (4 Hours)
ENGL 2420.,Contemporary Poetry.  (4 Hours)
ENGL 2430.,Contemporary Fiction.  (4 Hours)
ENGL 2440.,The Modern Bestseller.  (4 Hours)
ENGL 2450.,Postcolonial Literature.  (4 Hours)
ENGL 2451.,Postcolonial Women Writers.  (4 Hours)
ENGL 2455.,American Women Writers.  (4 Hours)
ENGL 2470.,Asian-American Literature.  (4 Hours)
ENGL 2510.,Horror Fiction.  (4 Hours)
ENGL 2520.,Science Fiction.  (4 Hours)
ENGL 2530.,Fantasy Literature.  (4 Hours)
ENGL 2600.,Irish Literary Culture (Abroad).  (4 Hours)
ENGL 2610.,Contemporary Israeli Literature and Art Abroad.  (4 Hours)
ENGL 2620.,What Is Nature?.  (4 Hours)
ENGL 2650.,"Science Writing: Origins, Ethics, and Emerging Genres.  (4 Hours)"
ENGL 2690.,Boston in Literature.  (4 Hours)
ENGL 2695.,Travel and Place-Based Writing.  (4 Hours)
ENGL 2700.,Creative Writing.  (4 Hours)
ENGL 2710.,Style and Editing.  (4 Hours)
ENGL 2730.,Digital Writing.  (4 Hours)
ENGL 2740.,Writing and Community Engagement.  (4 Hours)
ENGL 2760.,Writing in Global Contexts.  (4 Hours)
ENGL 2770.,Writing to Heal.  (4 Hours)
ENGL 2780.,Visual Writing.  (4 Hours)
ENGL 2850.,Writing for Social Media: Theory and Practice.  (4 Hours)
ENGL 2990.,Elective.  (1-4 Hours)
ENGL 2991.,Research Practicum.  (2-4 Hours)
ENGL 2995.,Practicum.  (1-4 Hours)
ENGL 3070.,Literary Genres.  (4 Hours)
ENGL 3101.,Early Literatures.  (4 Hours)
ENGL 3120.,17th- and 18th-Century Literatures.  (4 Hours)
ENGL 3140.,19th-Century Literatures.  (4 Hours)
ENGL 3160.,Topics in 17th- and 18th-Century British Literatures.  (4 Hours)
ENGL 3161.,20th- and 21st-Century Literatures.  (4 Hours)
ENGL 3190.,Topics in 19th-Century American Literature.  (4 Hours)
ENGL 3322.,Topics in Rhetoric.  (4 Hours)
ENGL 3325.,Rhetoric of Law.  (4 Hours)
ENGL 3340.,Technologies of Text.  (4 Hours)
ENGL 3360.,Digital Humanities.  (4 Hours)
ENGL 3370.,Writing Cultures.  (4 Hours)
ENGL 3375.,Writing Boston.  (4 Hours)
ENGL 3376.,Creative Nonfiction.  (4 Hours)
ENGL 3377.,Poetry Workshop.  (4 Hours)
ENGL 3378.,Fiction Workshop.  (4 Hours)
ENGL 3380.,Writing Seminar.  (4 Hours)
ENGL 3381.,The Practice and Theory of Teaching Writing.  (4 Hours)
ENGL 3384.,The Writer’s Marketplace.  (4 Hours)
ENGL 3400.,Opening the Archive.  (4 Hours)
ENGL 3404.,African American Rhetorical Traditions.  (4 Hours)
ENGL 3426.,British and American Literature and Politics.  (4 Hours)
ENGL 3458.,Language Matters.  (4 Hours)
ENGL 3460.,The Archives of Public Health.  (4 Hours)
ENGL 3487.,Film and Text (Abroad).  (4 Hours)
ENGL 3618.,Milton.  (4 Hours)
ENGL 3619.,Emerson and Thoreau.  (4 Hours)
ENGL 3664.,Black Poetry and the Spoken Word.  (4 Hours)
ENGL 3678.,"Bedrooms and Battlefields: Hebrew Bible and the Origins of Sex, Gender, and Ethnicity.  (4 Hours)"
ENGL 3685.,Modern and Contemporary Jewish Literature.  (4 Hours)
ENGL 3700.,Narrative Medicine.  (4 Hours)
ENGL 3720.,19th-Century Major Figure.  (4 Hours)
ENGL 3730.,20th- and 21st-Century Major Figure.  (4 Hours)
ENGL 3900.,Gender and Black World Literatures.  (4 Hours)
ENGL 3990.,Elective.  (1-4 Hours)
ENGL 4010.,Topics in Shakespeare.  (4 Hours)
ENGL 4100.,Topics in Literary Criticism.  (4 Hours)
ENGL 4410.,Research in Rhetoric and Writing.  (4 Hours)
ENGL 4710.,Capstone Seminar.  (4 Hours)
ENGL 4720.,Capstone Project.  (4 Hours)
ENGL 4970.,Junior/Senior Honors Project 1.  (4 Hours)
ENGL 4971.,Junior/Senior Honors Project 2.  (4 Hours)
ENGL 4990.,Elective.  (1-4 Hours)
ENGL 4991.,Research.  (4 Hours)
ENGL 4992.,Directed Study.  (1-4 Hours)
ENGL 5103.,Proseminar.  (4 Hours)
ENGL 5976.,Directed Study.  (1-4 Hours)
ENGL 6301.,Fiction Workshop.  (4 Hours)
ENGL 6302.,Poetry Workshop.  (4 Hours)
ENGL 6303.,Creative Nonfiction Workshop.  (4 Hours)
ENGL 6954.,Co-op Work Experience - Half-Time.  (0 Hours)
ENGL 6955.,Co-op Work Experience Abroad – Half-Time.  (0 Hours)
ENGL 6962.,Elective.  (1-4 Hours)
ENGL 6964.,Co-op Work Experience.  (0 Hours)
ENGL 6965.,Co-op Work Experience Abroad.  (0 Hours)
ENGL 7211.,Topics in American Literature.  (4 Hours)
ENGL 7214.,Topics in 19th-Century American Literature.  (4 Hours)
ENGL 7244.,African-American Novel.  (4 Hours)
ENGL 7266.,Victorian Literature.  (4 Hours)
ENGL 7281.,Topics in Medieval Literature.  (4 Hours)
ENGL 7282.,Topics in Renaissance Literature.  (4 Hours)
ENGL 7284.,Topics in 18th-Century Literature.  (4 Hours)
ENGL 7342.,Topics in Criticism.  (4 Hours)
ENGL 7351.,Topics in Literary Study.  (4 Hours)
ENGL 7352.,Topics in Genre.  (4 Hours)
ENGL 7353.,Topics in Fiction.  (4 Hours)
ENGL 7358.,Topics in Literature and other Disciplines.  (4 Hours)
ENGL 7360.,Topics in Rhetoric.  (4 Hours)
ENGL 7370.,Introduction to Digital Humanities.  (4 Hours)
ENGL 7380.,Topics in Digital Humanities.  (4 Hours)
ENGL 7392.,Writing and the Teaching of Writing.  (4 Hours)
ENGL 7395.,Topics in Writing.  (4 Hours)
ENGL 7962.,Elective.  (1-4 Hours)
ENGL 7976.,Directed Study.  (1-4 Hours)
ENGL 7986.,Research.  (0 Hours)
ENGL 7990.,Thesis.  (4 Hours)
ENGL 7996.,Thesis Continuation - Half-Time.  (0 Hours)
ENGL 8407.,Teaching Practicum.  (1 Hour)
ENGL 8960.,Exam Preparation—Doctoral.  (0 Hours)
ENGL 8986.,Research.  (0 Hours)
ENGL 9000.,PhD Candidacy Achieved.  (0 Hours)
ENGL 9986.,Research.  (0 Hours)
ENGL 9990.,Dissertation Term 1.  (0 Hours)
ENGL 9991.,Dissertation Term 2.  (0 Hours)
ENGL 9996.,Dissertation Continuation.  (0 Hours)
ENG 1105.,ollege Writing 1.  (3 Hours)
ENG 1106.,ab for ENG 1105.  (1 Hour)
ENG 1107.,ollege Writing 2.  (3 Hours)
ENG 1108.,ab for ENG 1107.  (1 Hour)
ENG 1990.,lective.  (1-4 Hours)
ENG 3105.,riting for the Professions: Science and Engineering.  (3 Hours)
ENG 3106.,ab for ENG 3105.  (1 Hour)
ENG 3107.,riting for the Professions: Business and the Social Sciences.  (3 Hours)
ENG 3108.,ab for ENG 3107.  (1 Hour)
ENG 3220.,riting Poetry.  (3 Hours)
ENG 3230.,riting Fiction.  (3 Hours)
ENG 3240.,riting Nonfiction.  (3 Hours)
ENG 3260.,riting to Inform and Persuade.  (3 Hours)
ENG 3300.,iterature and Business Leadership.  (3 Hours)
ENG 3990.,lective.  (1-4 Hours)
ENG 4950.,eminar.  (1-4 Hours)
ENG 4955.,roject.  (1-4 Hours)
ENG 4990.,lective.  (1-4 Hours)
ENG 4991.,esearch.  (1-4 Hours)
ENG 6962.,lective.  (1-4 Hours)
ENGW 1102.,First-Year Writing for Multilingual Writers.  (4 Hours)
ENGW 1110.,Introductory First-Year Writing.  (4 Hours)
ENGW 1111.,First-Year Writing.  (4 Hours)
ENGW 1113.,First-Year Writing Innovation Seminar.  (4 Hours)
ENGW 1114.,First-Year Writing with Service-Learning.  (4 Hours)
ENGW 1990.,Elective.  (1-4 Hours)
ENGW 2990.,Elective.  (1-4 Hours)
ENGW 3302.,Advanced Writing in the Technical Professions.  (4 Hours)
ENGW 3303.,Advanced Writing in the Environmental Professions.  (4 Hours)
ENGW 3304.,Advanced Writing in the Business Administration Professions.  (4 Hours)
ENGW 3305.,Advanced Writing in the Criminal Justice Professions.  (4 Hours)
ENGW 3306.,Advanced Writing in the Health Professions.  (4 Hours)
ENGW 3307.,Advanced Writing in the Sciences.  (4 Hours)
ENGW 3308.,Advanced Writing in the Social Sciences.  (4 Hours)
ENGW 3309.,Advanced Writing in the Humanities.  (4 Hours)
ENGW 3310.,Advanced Writing in Literature.  (4 Hours)
ENGW 3311.,Advanced Writing for Prelaw.  (4 Hours)
ENGW 3314.,"Advanced Writing in the Arts, Media, and Design.  (4 Hours)"
ENGW 3315.,Interdisciplinary Advanced Writing in the Disciplines.  (4 Hours)
ENGW 3990.,Elective.  (1-4 Hours)
ENGW 4990.,Elective.  (1-4 Hours)
EAI 1990.,lective.  (1-4 Hours)
EAI 2990.,lective.  (1-4 Hours)
EAI 3990.,lective.  (1-4 Hours)
EAI 4990.,lective.  (1-4 Hours)
EAI 5000.,undamentals of Artificial Intelligence.  (2.25 Hours)
EAI 5010.,pplications of Artificial Intelligence.  (2.25 Hours)
EAI 5020.,I System Technologies.  (2.25 Hours)
EAI 5030.,sability and Human Interaction.  (2.25 Hours)
EAI 5080.,dvanced Analytical Utilization.  (2.25 Hours)
EAI 6000.,undamentals of Artificial Intelligence.  (3 Hours)
EAI 6010.,pplications of Artificial Intelligence.  (3 Hours)
EAI 6020.,I System Technologies.  (3 Hours)
EAI 6030.,sability and Human Interaction.  (3 Hours)
EAI 6050.,inance Information Processing.  (3 Hours)
EAI 6060.,ealthcare Information Processing.  (3 Hours)
EAI 6070.,uman Resources Information Processing.  (3 Hours)
EAI 6080.,dvanced Analytical Utilization.  (3 Hours)
EAI 6120.,I Communication and Visualization.  (3 Hours)
EAI 6400.,ata Governance and Responsible AI.  (3 Hours)
EAI 6962.,lective.  (1-4 Hours)
EAI 6980.,ntegrated Experiential Capstone.  (3 Hours)
ENTR 1201.,The Entrepreneurial Universe.  (4 Hours)
ENTR 1990.,Elective.  (1-4 Hours)
ENTR 2215.,Understanding Family Enterprise.  (4 Hours)
ENTR 2225.,Examining Family Business Dynamics Through Film.  (4 Hours)
ENTR 2302.,Innovation Through Applied Learning.  (4 Hours)
ENTR 2303.,Marketing Strategies for Startups.  (4 Hours)
ENTR 2990.,Elective.  (1-4 Hours)
ENTR 3217.,Global Family Business Leadership.  (4 Hours)
ENTR 3220.,International Entrepreneurship and Innovation Consulting.  (4 Hours)
ENTR 3302.,Managing and Growing the Family Business.  (4 Hours)
ENTR 3305.,Business Model Design and Innovation.  (4 Hours)
ENTR 3306.,Global Entrepreneurship.  (4 Hours)
ENTR 3330.,Design Thinking for Startups.  (4 Hours)
ENTR 3401.,Consulting Operations & Growth in SMEs.  (4 Hours)
ENTR 3990.,Elective.  (1-4 Hours)
ENTR 4414.,"Bridging Conflict, Creating Diversity.  (4 Hours)"
ENTR 4501.,Integrated Studies in Entrepreneurial Startups.  (4 Hours)
ENTR 4503.,Integrated Studies in Family Business.  (4 Hours)
ENTR 4505.,Entrepreneurial Venture Growth Strategies.  (4 Hours)
ENTR 4510.,Management Consulting Abroad.  (4 Hours)
ENTR 4983.,Special Topics in Entrepreneurship.  (4 Hours)
ENTR 4990.,Elective.  (1-4 Hours)
ENTR 4992.,Directed Study.  (1-4 Hours)
ENTR 5000.,New Venture Development.  (1-4 Hours)
ENTR 6210.,Managing Operations in Early Stage Ventures.  (3 Hours)
ENTR 6211.,Entrepreneurship: Services and Retail Business Creation.  (3 Hours)
ENTR 6212.,Business Planning for New Ventures.  (3 Hours)
ENTR 6214.,Social Enterprise.  (3 Hours)
ENTR 6216.,Global Social Entrepreneurship and Innovation.  (3 Hours)
ENTR 6218.,Business Model Design and Innovation.  (3 Hours)
ENTR 6219.,Financing Ventures from Early Stage to Exit.  (3 Hours)
ENTR 6240.,Emerging and Disruptive Technologies.  (3 Hours)
ENTR 6241.,Entrepreneurial Marketing and Selling.  (3 Hours)
ENTR 6250.,Lean Design and Development.  (3 Hours)
ENTR 6300.,Managing a Technology-Based Business.  (3 Hours)
ENTR 6318.,Innovation Driven Strategy.  (2 Hours)
ENTR 6320.,"Innovation, Entrepreneurship, and Dynamic Competition.  (3 Hours)"
ENTR 6340.,The Technical Entrepreneur as Leader.  (3 Hours)
ENTR 6962.,Elective.  (1-4 Hours)
